accession	secondary_sample_accession	bio_material	cell_line	cell_type	collected_by	collection_date	country	cultivar	culture_collection	description	dev_stage	ecotype	environmental_sample	first_public	germline	identified_by	isolate	isolation_source	location	mating_type	serotype	serovar	sex	submitted_sex	specimen_voucher	strain	sub_species	sub_strain	tissue_lib	tissue_type	variety	tax_id	scientific_name	sample_alias	checklist	center_name	depth	elevation	altitude	environment_biome	environment_feature	environment_material	temperature	salinity	sampling_campaign	sampling_site	sampling_platform	protocol_label	project_name	host	host_tax_id	host_status	host_sex	submitted_host_sex	host_body_site	host_gravidity	host_phenotype	host_genotype	host_growth_conditions	environmental_package	investigation_type	experimental_factor	sample_collection	sequencing_method	target_gene	ph	broker_name
SAMEA102357418	ERS1574591									SAMPLE_WTCHG_350648_208190			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_208190	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102358168	ERS1574592									SAMPLE_WTCHG_350648_209107			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_209107	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102360418	ERS1574595									SAMPLE_WTCHG_350648_210178			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_210178	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102361168	ERS1574596									SAMPLE_WTCHG_350648_211131			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_211131	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102361918	ERS1574597									SAMPLE_WTCHG_350648_211166			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_211166	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102362668	ERS1574598									SAMPLE_WTCHG_350648_212143			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_212143	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102363418	ERS1574599									SAMPLE_WTCHG_350648_212154			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_212154	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102364168	ERS1574600									SAMPLE_WTCHG_350648_213155			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_213155	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102364918	ERS1574601									SAMPLE_WTCHG_350648_214167			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_214167	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102365668	ERS1574602									SAMPLE_WTCHG_350648_215179			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_215179	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102366418	ERS1574603									SAMPLE_WTCHG_350648_216191			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_216191	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102367168	ERS1574604									SAMPLE_WTCHG_350648_217108			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_217108	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102367918	ERS1574605									SAMPLE_WTCHG_350648_217189			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_217189	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102369418	ERS1574607									SAMPLE_WTCHG_350648_218177			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_218177	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102370168	ERS1574608									SAMPLE_WTCHG_350648_219132			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_219132	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102373168	ERS1574612									SAMPLE_WTCHG_350648_221156			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_221156	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102373918	ERS1574613									SAMPLE_WTCHG_350648_222129			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_222129	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102375418	ERS1574615									SAMPLE_WTCHG_350648_224105			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_224105	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102376168	ERS1574616									SAMPLE_WTCHG_350648_224192			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_224192	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102376918	ERS1574617									SAMPLE_WTCHG_350648_225109			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_225109	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102377668	ERS1574618									SAMPLE_WTCHG_350648_225188			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_225188	ERC000011	University of Oxford																															MAIDEN_OX
SAMEA102381418	ERS1574623									SAMPLE_WTCHG_350648_228145			false	2017-03-01	false																	487	Neisseria meningitidis	SAMPLE_WTCHG_350648_228145	ERC000011	University of Oxford																															MAIDEN_OX
